Gender,Age Range,Ethnicity,Department,Education Level,Years of Experience,Performance Score,Training Participation,Support for Diversity Initiatives,Experienced Workplace Bias,Projects Handled,Overtime Hours,Promotion Status
Female,20-29,White,IT,Master,27,70,Yes,No,No,2,14,No
Female,20-29,Black,HR,PhD,13,90,Yes,Yes,Yes,13,20,No
Male,40-49,White,HR,PhD,11,70,Yes,No,No,14,24,Yes
Male,20-29,Black,Finance,Master,13,70,No,No,Yes,6,19,Yes
Female,30-39,White,Marketing,Bachelor,13,90,No,Yes,Yes,5,27,No
Male,30-39,White,Finance,Master,28,95,No,Yes,No,3,24,Yes
Male,40-49,Hispanic,Marketing,PhD,25,60,Yes,No,Yes,5,26,Yes
Female,30-39,White,IT,Master,22,85,No,Yes,Yes,5,22,No
Male,50-59,Hispanic,IT,PhD,28,70,Yes,No,Yes,5,21,Yes
Male,30-39,White,IT,PhD,20,90,No,Yes,Yes,3,3,No
Female,30-39,Asian,IT,PhD,15,80,No,Yes,Yes,3,1,No
Female,20-29,White,HR,Master,21,70,No,Yes,No,4,23,No
Male,20-29,Asian,HR,PhD,13,85,No,Yes,Yes,7,5,Yes
Male,30-39,Asian,Finance,PhD,22,60,No,Yes,No,12,27,Yes
Female,40-49,White,Marketing,Master,11,70,Yes,No,Yes,12,2,No
Female,20-29,Asian,IT,PhD,19,70,No,Yes,Yes,12,6,No
Female,40-49,Hispanic,IT,Master,8,95,Yes,Yes,No,14,9,No
Female,30-39,Black,Marketing,PhD,20,90,Yes,Yes,No,2,22,No
Male,30-39,White,Marketing,Bachelor,8,80,Yes,No,Yes,10,5,Yes
Female,50-59,Asian,Finance,Bachelor,10,80,Yes,No,Yes,4,15,No
Female,20-29,White,Marketing,PhD,26,60,Yes,No,No,4,1,No
Male,30-39,Hispanic,IT,Bachelor,16,85,Yes,No,No,1,23,No
Female,50-59,White,IT,Master,19,60,Yes,No,No,10,16,No
Male,20-29,White,IT,Bachelor,26,70,Yes,Yes,No,8,12,Yes
Female,30-39,Asian,IT,PhD,23,70,No,Yes,Yes,1,0,No
Female,30-39,Hispanic,IT,PhD,11,80,No,Yes,Yes,8,5,No
Female,20-29,Black,Finance,Master,13,85,Yes,No,Yes,7,4,No
Male,20-29,Black,IT,PhD,28,90,Yes,No,Yes,9,24,Yes
Male,20-29,Asian,Finance,Master,9,85,Yes,Yes,Yes,8,12,Yes
Female,30-39,White,IT,Bachelor,20,70,No,No,No,5,27,No
Male,30-39,Asian,HR,Bachelor,24,90,No,No,No,8,22,No
Male,50-59,Asian,HR,Master,19,85,Yes,No,No,14,17,Yes
Male,40-49,Asian,HR,Master,16,85,Yes,Yes,Yes,11,28,Yes
Male,20-29,White,HR,PhD,7,90,No,Yes,No,10,11,Yes
Male,30-39,Hispanic,Finance,Bachelor,19,70,No,No,Yes,12,6,Yes
Male,30-39,Asian,Finance,Master,12,85,Yes,No,Yes,12,14,Yes
Female,20-29,White,Marketing,Bachelor,15,90,Yes,No,Yes,3,2,Yes
Female,40-49,Hispanic,IT,Master,23,95,Yes,No,No,10,15,No
Male,20-29,Asian,HR,Bachelor,14,95,Yes,Yes,Yes,7,0,Yes
Female,40-49,Black,Finance,PhD,11,70,No,No,Yes,12,26,No
Female,30-39,Hispanic,IT,Bachelor,26,90,No,Yes,No,4,15,No
Female,40-49,Asian,IT,Bachelor,10,95,Yes,Yes,Yes,5,23,No
Female,50-59,Hispanic,Finance,Bachelor,27,90,Yes,Yes,No,9,29,No
Male,30-39,Hispanic,HR,Bachelor,11,85,Yes,No,Yes,7,11,Yes
Female,50-59,Hispanic,Marketing,Bachelor,6,70,No,Yes,No,4,18,No
Female,20-29,Hispanic,IT,PhD,2,95,Yes,Yes,Yes,6,26,No
Male,20-29,Hispanic,Marketing,Master,11,85,Yes,No,Yes,10,7,Yes
Male,20-29,Hispanic,HR,Bachelor,19,60,Yes,No,No,14,22,Yes
Female,40-49,Asian,HR,PhD,6,60,No,No,Yes,11,11,No
Female,30-39,Black,Marketing,Bachelor,14,70,Yes,Yes,No,7,14,No
Female,20-29,White,HR,Bachelor,20,95,No,No,Yes,13,1,No
Female,20-29,Hispanic,IT,Master,6,95,Yes,Yes,No,10,28,No
Female,30-39,White,Marketing,Bachelor,17,95,Yes,Yes,Yes,13,29,No
Female,20-29,Asian,HR,PhD,10,90,Yes,No,Yes,9,29,No
Male,50-59,Hispanic,Marketing,PhD,28,85,No,Yes,Yes,4,16,Yes
Female,30-39,Black,IT,Master,1,95,Yes,Yes,No,10,6,No
Female,30-39,White,HR,Bachelor,3,85,Yes,Yes,No,3,12,No
Male,30-39,Hispanic,IT,PhD,8,70,No,Yes,No,8,0,Yes
Male,50-59,Asian,HR,Bachelor,8,95,No,No,No,1,5,Yes
Male,30-39,Black,Finance,Bachelor,27,70,No,Yes,No,9,12,Yes
Male,50-59,White,HR,Bachelor,20,95,Yes,No,Yes,13,10,Yes
Female,30-39,White,Marketing,Master,22,60,No,Yes,Yes,1,9,No
Female,40-49,Hispanic,HR,Bachelor,15,80,Yes,Yes,Yes,2,15,No
Female,20-29,Black,IT,PhD,24,70,No,No,Yes,13,26,Yes
Female,40-49,Black,IT,Bachelor,7,95,No,Yes,Yes,8,25,No
Female,20-29,Black,HR,PhD,11,80,No,Yes,No,9,23,No
Female,50-59,Black,Marketing,Bachelor,7,70,Yes,Yes,Yes,7,22,No
Male,40-49,Asian,Finance,PhD,29,90,Yes,Yes,No,3,19,Yes
Female,30-39,Black,Marketing,PhD,4,95,Yes,Yes,Yes,7,16,No
Male,20-29,White,Finance,Bachelor,25,90,Yes,Yes,No,6,16,No
Male,20-29,White,IT,Bachelor,12,60,Yes,No,No,2,3,Yes
Female,40-49,Asian,Marketing,PhD,26,95,Yes,No,No,3,4,No
Male,50-59,White,Finance,Master,6,60,Yes,No,Yes,11,27,Yes
Female,40-49,White,HR,Bachelor,14,80,Yes,Yes,Yes,13,22,No
Male,50-59,Black,IT,Master,12,70,Yes,Yes,Yes,12,13,Yes
Female,50-59,White,HR,Bachelor,11,85,No,Yes,Yes,13,19,No
Male,20-29,Asian,IT,Bachelor,19,60,No,No,No,10,9,Yes
Female,40-49,Black,Marketing,Bachelor,21,85,Yes,Yes,No,10,13,No
Female,40-49,Hispanic,Marketing,Bachelor,5,85,Yes,No,No,13,27,Yes
Female,50-59,Black,IT,Master,14,70,Yes,Yes,No,12,0,No
Female,40-49,Asian,IT,Bachelor,21,80,Yes,Yes,Yes,5,10,No
Female,30-39,Black,IT,PhD,24,70,No,Yes,No,10,25,No
Male,30-39,Black,Marketing,PhD,16,95,No,No,Yes,4,22,Yes
Male,40-49,Asian,Finance,Master,25,60,Yes,Yes,No,2,17,Yes
Male,40-49,Black,HR,Bachelor,13,85,No,No,No,4,15,Yes
Female,50-59,Asian,HR,PhD,25,70,No,Yes,No,12,28,No
Male,30-39,Asian,Marketing,Master,29,70,Yes,Yes,Yes,8,26,Yes
Female,30-39,Hispanic,HR,Bachelor,22,70,Yes,No,Yes,5,17,No
Female,20-29,White,IT,PhD,22,60,Yes,Yes,No,5,7,No
Male,50-59,White,Finance,PhD,25,80,Yes,Yes,No,13,27,Yes
Male,20-29,Black,HR,Master,20,70,No,Yes,No,12,9,Yes
Female,30-39,Black,Finance,Bachelor,22,60,Yes,Yes,Yes,12,25,No
Male,50-59,Hispanic,IT,Bachelor,4,85,No,No,Yes,10,9,No
Female,40-49,Hispanic,HR,PhD,11,95,Yes,No,Yes,3,4,No
Female,50-59,Hispanic,Marketing,PhD,17,90,No,Yes,No,13,9,No
Female,40-49,Asian,Finance,PhD,7,60,Yes,Yes,Yes,8,17,Yes
Female,40-49,Hispanic,IT,Bachelor,14,90,Yes,No,No,6,20,No
Female,50-59,Hispanic,Finance,Master,26,70,No,Yes,Yes,2,23,No
Male,40-49,Black,HR,Master,11,70,No,No,No,2,5,Yes
Male,20-29,Hispanic,HR,Bachelor,28,60,No,Yes,No,9,2,Yes
Female,30-39,Asian,Marketing,Master,22,90,Yes,No,Yes,13,7,No
Female,40-49,Asian,IT,PhD,9,70,No,No,No,7,29,No
Male,20-29,Black,IT,Master,23,85,No,No,No,10,8,Yes
Male,40-49,Hispanic,Marketing,Master,13,80,No,No,No,9,4,Yes
Female,30-39,Hispanic,Marketing,Master,23,80,No,Yes,Yes,14,28,No
Male,20-29,Asian,IT,PhD,18,70,No,Yes,No,6,1,Yes
Female,30-39,Hispanic,Finance,Bachelor,28,90,No,No,Yes,5,1,No
Male,30-39,Hispanic,Finance,PhD,11,95,No,No,Yes,12,6,Yes
Female,20-29,Hispanic,Marketing,Bachelor,15,70,No,No,No,1,16,No
Male,20-29,White,Finance,Bachelor,25,95,No,No,Yes,12,9,Yes
Female,20-29,Black,IT,Bachelor,26,95,Yes,Yes,No,6,11,No
Male,50-59,White,HR,Master,25,90,Yes,No,Yes,6,1,Yes
Male,20-29,Black,HR,Master,22,95,No,No,No,3,9,Yes
Female,20-29,Asian,Finance,Bachelor,29,85,Yes,No,Yes,3,19,No
Male,20-29,Hispanic,Marketing,Bachelor,19,90,Yes,No,No,3,0,Yes
Female,20-29,Black,Marketing,Master,1,70,No,No,No,3,3,Yes
Male,40-49,White,Marketing,PhD,4,85,No,No,No,7,12,Yes
Female,50-59,Hispanic,Marketing,Bachelor,14,60,No,No,No,10,11,No
Male,30-39,Asian,Marketing,PhD,14,80,No,Yes,Yes,11,10,Yes
Female,20-29,Black,Finance,Master,3,70,No,No,Yes,2,28,No
Male,40-49,Black,HR,Bachelor,30,70,No,No,No,10,9,Yes
Female,40-49,Black,HR,PhD,28,70,Yes,No,Yes,13,14,Yes
Male,40-49,Hispanic,Finance,PhD,17,85,No,Yes,No,10,4,Yes
Female,30-39,White,Marketing,PhD,3,60,Yes,Yes,No,2,24,No
Female,20-29,White,Finance,Master,16,90,No,Yes,Yes,3,16,No
Female,50-59,Black,HR,Master,14,60,No,No,Yes,10,27,No
Male,50-59,Asian,IT,PhD,30,85,Yes,No,No,12,4,Yes
Female,40-49,Asian,Finance,PhD,20,70,No,No,Yes,7,1,No
Male,30-39,White,Marketing,Master,29,80,No,Yes,No,3,8,Yes
Female,30-39,Asian,HR,PhD,13,70,Yes,No,Yes,7,5,No
Male,30-39,White,HR,PhD,15,90,No,Yes,Yes,9,17,Yes
Female,50-59,Black,HR,Master,14,95,Yes,Yes,Yes,11,13,No
Male,40-49,White,HR,PhD,24,80,No,Yes,Yes,10,18,Yes
Male,20-29,White,Marketing,PhD,25,70,No,Yes,Yes,12,13,Yes
Female,50-59,Black,IT,PhD,19,80,Yes,Yes,No,11,7,No
Male,40-49,Asian,HR,Master,6,95,No,No,Yes,4,16,Yes
Male,40-49,White,Finance,PhD,10,60,Yes,No,Yes,7,27,Yes
Female,20-29,White,IT,Master,27,85,Yes,Yes,No,9,2,Yes
Male,20-29,Black,HR,Master,15,70,Yes,No,No,14,28,Yes
Male,20-29,Asian,IT,Bachelor,21,90,No,No,No,8,9,Yes
Male,30-39,White,Finance,Bachelor,22,60,No,Yes,Yes,8,16,Yes
Female,20-29,Black,HR,PhD,20,70,Yes,Yes,Yes,9,26,Yes
Male,40-49,White,Finance,Master,26,60,No,No,No,14,10,Yes
Female,20-29,Hispanic,Marketing,Bachelor,6,90,No,No,No,5,7,No
Male,40-49,Black,HR,PhD,23,70,No,No,No,14,0,Yes
Male,50-59,Asian,HR,Bachelor,25,95,Yes,No,No,5,12,Yes
Male,30-39,Asian,HR,Bachelor,10,95,No,Yes,Yes,3,20,Yes
Female,50-59,Asian,HR,Master,7,90,Yes,No,Yes,5,3,No
Male,50-59,Asian,Marketing,Master,22,80,No,Yes,Yes,8,6,Yes
Male,40-49,White,HR,Bachelor,17,90,No,Yes,Yes,12,13,Yes
Female,50-59,White,IT,Bachelor,18,80,Yes,No,Yes,5,4,No
Male,40-49,Asian,HR,Master,17,70,No,No,No,4,23,Yes
Female,20-29,Asian,Marketing,PhD,9,80,Yes,No,Yes,8,27,No
Female,20-29,Asian,HR,Master,10,70,No,Yes,No,7,29,No
Male,40-49,White,IT,Bachelor,10,70,Yes,Yes,No,14,10,Yes
Female,20-29,Asian,Marketing,PhD,25,85,No,Yes,No,14,16,No
Male,30-39,Asian,Marketing,Bachelor,7,70,No,Yes,Yes,6,4,Yes
Female,50-59,Hispanic,IT,PhD,16,80,No,No,No,5,19,No
Female,30-39,Hispanic,IT,Bachelor,29,85,Yes,Yes,Yes,14,2,No
Male,50-59,Asian,IT,PhD,18,85,Yes,Yes,No,5,4,Yes
Female,20-29,Black,IT,PhD,6,70,Yes,No,Yes,13,25,No
Female,30-39,Asian,IT,Bachelor,27,90,No,Yes,No,10,14,No
Female,20-29,Hispanic,Marketing,PhD,20,90,Yes,Yes,Yes,2,18,No
Female,50-59,Black,Marketing,Master,1,95,Yes,No,No,13,15,No
Female,40-49,Black,HR,Bachelor,1,85,Yes,Yes,No,4,7,No
Male,40-49,Asian,HR,Master,12,70,Yes,Yes,No,8,12,No
Female,30-39,Hispanic,Finance,Bachelor,21,90,Yes,Yes,No,8,15,No
Male,20-29,Hispanic,HR,PhD,28,70,Yes,Yes,Yes,11,2,Yes
Female,20-29,Black,HR,PhD,2,70,Yes,No,Yes,1,0,No
Male,30-39,Asian,IT,PhD,4,85,Yes,Yes,Yes,2,8,Yes
Male,40-49,White,IT,Bachelor,17,95,Yes,No,No,5,8,Yes
Female,50-59,White,HR,Master,4,85,Yes,Yes,No,9,21,No
Female,30-39,Hispanic,Finance,Master,11,60,No,No,No,10,25,No
Female,50-59,White,IT,Bachelor,22,90,No,No,No,11,16,No
Male,40-49,Hispanic,HR,Bachelor,26,90,Yes,No,No,12,23,Yes
Female,20-29,Hispanic,HR,Master,4,90,No,Yes,No,13,1,No
Male,40-49,Hispanic,Marketing,Master,1,80,No,Yes,Yes,11,8,Yes
Male,30-39,White,Finance,Master,7,70,Yes,Yes,Yes,7,29,Yes
Male,20-29,Hispanic,Marketing,Master,30,85,Yes,No,Yes,10,23,Yes
Female,30-39,Black,Finance,Bachelor,18,90,Yes,Yes,Yes,5,18,No
Female,30-39,Asian,IT,Bachelor,9,60,No,Yes,Yes,1,12,No
Male,40-49,Asian,Finance,PhD,29,90,Yes,Yes,Yes,6,4,Yes
Male,30-39,Hispanic,HR,Master,3,95,No,Yes,Yes,12,8,Yes
Female,40-49,Asian,HR,PhD,8,70,Yes,No,Yes,8,12,No
Male,20-29,White,Finance,Bachelor,29,70,No,No,No,7,0,Yes
Female,40-49,White,Finance,Bachelor,24,85,No,Yes,No,2,24,No
Male,20-29,Asian,Finance,PhD,19,80,Yes,Yes,No,12,14,Yes
Female,40-49,White,Marketing,Master,4,85,Yes,Yes,No,5,3,No
Male,50-59,Asian,Finance,Master,18,90,No,No,No,14,3,Yes
Female,50-59,Asian,IT,Master,20,95,No,Yes,No,11,19,Yes
Male,30-39,Asian,Marketing,Master,27,60,Yes,No,No,4,9,Yes
Female,40-49,Hispanic,Marketing,PhD,11,85,Yes,No,Yes,9,27,No
Female,40-49,Asian,Finance,PhD,27,80,No,Yes,Yes,10,24,No
Male,20-29,Hispanic,IT,Bachelor,14,85,Yes,Yes,No,1,29,Yes
Male,30-39,Asian,Marketing,Master,25,70,No,Yes,Yes,12,5,Yes
Female,40-49,Asian,HR,Master,18,90,Yes,No,Yes,6,26,No
Male,30-39,Asian,Marketing,Master,28,90,Yes,No,Yes,3,23,Yes
Female,50-59,White,Finance,PhD,28,90,Yes,Yes,Yes,11,11,No
Male,40-49,Hispanic,IT,Master,29,90,No,No,Yes,9,29,Yes
Female,40-49,Hispanic,Finance,PhD,16,90,Yes,Yes,No,5,19,No
Female,30-39,Asian,HR,Master,3,90,No,Yes,Yes,13,15,No
Female,40-49,Asian,HR,Master,15,60,Yes,No,No,6,2,No
Female,30-39,White,HR,Bachelor,27,80,No,No,No,11,13,No
Female,40-49,White,Finance,Master,27,90,No,No,No,9,0,No
Female,20-29,White,Marketing,Master,4,80,Yes,No,Yes,9,9,No
Male,30-39,Hispanic,Finance,Bachelor,5,95,No,Yes,No,8,14,Yes
Male,40-49,Hispanic,IT,PhD,17,90,No,Yes,No,9,6,Yes
Male,50-59,Hispanic,Marketing,PhD,7,85,No,Yes,No,4,3,Yes
Female,40-49,Asian,HR,Master,16,90,No,No,No,6,13,No
Female,50-59,Hispanic,Finance,PhD,14,70,Yes,Yes,Yes,5,23,No
Female,50-59,Black,HR,Master,26,60,Yes,No,No,5,15,No
Female,20-29,Black,HR,Bachelor,16,85,Yes,No,No,4,13,No
Male,30-39,White,IT,Bachelor,7,85,No,No,No,2,2,Yes
Male,40-49,Hispanic,Marketing,Master,9,70,No,Yes,No,12,16,Yes
Female,20-29,Black,IT,Bachelor,4,90,Yes,No,Yes,6,20,No
Male,40-49,White,IT,Bachelor,30,60,Yes,No,No,9,13,Yes
Male,50-59,Hispanic,IT,Master,30,85,No,No,No,12,17,No
Female,30-39,Asian,HR,Master,22,60,Yes,No,No,1,2,No
Male,40-49,Black,IT,Bachelor,11,85,Yes,No,No,14,29,Yes
Female,40-49,Asian,IT,PhD,2,90,No,No,No,7,21,No
Male,50-59,Hispanic,Marketing,PhD,12,95,Yes,No,No,6,18,Yes
Female,40-49,Black,Marketing,Master,12,85,No,No,Yes,3,2,No
Female,40-49,Hispanic,IT,Master,30,95,Yes,No,No,1,11,No
Female,50-59,Asian,Marketing,PhD,4,85,No,No,Yes,13,21,No
Female,20-29,Black,Marketing,Bachelor,18,80,No,No,Yes,4,4,No
Male,50-59,Asian,IT,PhD,26,90,No,No,No,14,9,Yes
Female,20-29,Hispanic,HR,PhD,21,70,No,Yes,Yes,9,8,No
Female,30-39,Hispanic,IT,PhD,7,95,No,Yes,No,2,0,Yes
Female,20-29,Asian,Marketing,PhD,29,70,Yes,No,Yes,3,12,No
Male,20-29,Black,HR,Master,1,90,Yes,No,No,2,2,Yes
Female,30-39,Asian,Finance,Master,26,70,Yes,No,Yes,14,18,No
Male,20-29,Hispanic,HR,Bachelor,26,90,No,Yes,Yes,2,10,No
Female,50-59,Asian,Marketing,Bachelor,23,70,Yes,Yes,No,10,15,No
Male,20-29,Hispanic,HR,Bachelor,26,95,No,Yes,Yes,11,5,Yes
Male,30-39,Asian,IT,Bachelor,13,80,No,No,Yes,11,23,Yes
Female,50-59,Black,Finance,PhD,6,70,Yes,No,Yes,8,2,No
Male,30-39,Black,Finance,Master,6,95,No,No,Yes,3,18,Yes
Female,30-39,Asian,Finance,Master,12,85,Yes,No,Yes,7,5,No
Female,40-49,Asian,Marketing,Bachelor,8,90,No,Yes,No,8,7,No
Female,40-49,Black,Marketing,Bachelor,24,60,No,No,Yes,3,21,No
Male,30-39,Hispanic,Finance,PhD,22,60,Yes,Yes,Yes,2,12,Yes
Male,30-39,Black,HR,PhD,19,90,No,Yes,No,13,11,Yes
Female,30-39,Hispanic,Finance,Bachelor,5,80,Yes,No,No,13,29,No
Female,40-49,Asian,HR,Master,18,70,No,Yes,No,8,9,No
Male,40-49,Asian,HR,Master,30,80,Yes,Yes,Yes,3,2,Yes
Female,20-29,Hispanic,Marketing,Master,5,60,No,Yes,Yes,7,3,No
Female,20-29,Asian,HR,Bachelor,30,95,Yes,Yes,Yes,12,0,No
Female,30-39,Hispanic,Finance,Master,25,90,Yes,No,Yes,1,12,No
Male,50-59,White,Marketing,PhD,10,90,No,No,No,14,23,Yes
Male,50-59,Black,IT,PhD,1,80,Yes,Yes,No,12,3,Yes
Male,40-49,White,IT,Bachelor,10,95,No,No,Yes,6,21,Yes
Female,40-49,Hispanic,Marketing,PhD,5,80,No,Yes,Yes,12,10,No
Female,40-49,Black,Finance,Bachelor,12,70,Yes,No,Yes,12,18,No
Female,30-39,Hispanic,IT,Master,22,85,Yes,No,Yes,13,10,No
Male,50-59,Black,IT,Master,30,95,Yes,No,No,9,11,Yes
Female,20-29,Black,HR,Master,27,85,Yes,No,No,12,10,No
Female,30-39,Black,HR,PhD,7,70,Yes,No,Yes,3,5,Yes
Female,20-29,Black,Finance,Bachelor,9,85,No,Yes,No,14,11,Yes
Female,20-29,Hispanic,Marketing,Master,22,60,Yes,No,Yes,7,26,Yes
Male,30-39,Black,Finance,Bachelor,21,85,No,Yes,Yes,13,8,Yes
Male,20-29,Black,Marketing,Master,12,70,Yes,Yes,No,6,24,Yes
Female,50-59,White,IT,PhD,23,85,Yes,No,Yes,8,9,No
Male,20-29,Asian,HR,PhD,29,90,Yes,Yes,No,3,2,No
Male,50-59,Asian,Finance,Bachelor,1,80,No,No,Yes,3,2,Yes
Female,50-59,White,Finance,PhD,11,60,Yes,Yes,No,4,19,No
Female,50-59,White,Marketing,PhD,30,90,No,Yes,Yes,3,27,No
Male,40-49,Hispanic,Marketing,Bachelor,21,90,No,No,No,9,22,Yes
Female,20-29,Hispanic,Finance,Master,15,70,No,No,Yes,11,15,No
Male,30-39,Hispanic,Marketing,PhD,2,80,Yes,No,Yes,4,2,Yes
Female,30-39,White,Finance,Bachelor,20,80,No,No,No,6,9,No
Male,20-29,White,Finance,PhD,7,95,Yes,Yes,Yes,8,23,Yes
Female,40-49,Black,Finance,PhD,21,60,No,No,No,11,10,No
Male,40-49,Hispanic,IT,PhD,12,70,Yes,Yes,No,13,7,Yes
Male,50-59,Hispanic,Marketing,PhD,22,60,No,Yes,Yes,8,5,Yes
Male,20-29,Hispanic,HR,Bachelor,18,95,Yes,Yes,Yes,5,19,Yes
Female,20-29,Asian,HR,Bachelor,3,85,Yes,Yes,Yes,5,10,No
Male,30-39,Black,Marketing,Bachelor,7,90,Yes,Yes,Yes,6,27,Yes
Male,20-29,Hispanic,Finance,PhD,11,60,No,Yes,No,10,26,Yes
Female,40-49,Hispanic,HR,PhD,18,90,No,No,Yes,7,20,No
Female,20-29,Hispanic,HR,PhD,12,70,Yes,Yes,Yes,13,11,No
Male,30-39,Asian,Marketing,Bachelor,6,85,No,Yes,Yes,13,15,Yes
Male,50-59,Asian,HR,PhD,5,70,No,Yes,No,10,17,Yes
Female,30-39,White,Finance,Master,26,85,No,No,Yes,14,12,No
Female,30-39,Black,Marketing,PhD,1,85,No,No,No,7,21,No
Female,50-59,White,Finance,Master,12,90,No,Yes,Yes,13,2,Yes
Female,30-39,Black,HR,PhD,27,70,No,No,No,4,14,No
Female,30-39,Asian,HR,Bachelor,26,70,No,Yes,Yes,6,21,No
Male,20-29,Hispanic,Finance,PhD,11,60,Yes,No,Yes,7,27,No
Female,20-29,White,IT,Master,4,70,Yes,Yes,No,5,20,No
Male,50-59,Hispanic,HR,Master,27,60,No,No,Yes,5,13,Yes
Male,20-29,White,IT,PhD,18,80,Yes,No,Yes,2,17,Yes
Male,20-29,Asian,HR,Master,4,80,Yes,No,Yes,7,27,Yes
Female,30-39,Asian,IT,Master,17,80,Yes,Yes,No,12,28,No
Male,40-49,Asian,IT,Bachelor,2,95,No,Yes,Yes,6,13,Yes
Male,20-29,White,IT,PhD,29,70,No,Yes,No,11,4,Yes
Female,40-49,Black,Finance,PhD,24,95,No,No,No,1,20,No
Male,20-29,White,IT,PhD,22,70,No,No,No,4,13,Yes
Male,20-29,Black,IT,Master,2,60,No,Yes,Yes,3,24,Yes
Female,50-59,White,IT,PhD,12,95,Yes,No,No,12,26,Yes
Male,50-59,White,HR,PhD,6,95,No,Yes,No,3,7,Yes
Male,50-59,Asian,IT,Bachelor,10,95,Yes,Yes,Yes,7,27,Yes
Male,40-49,Hispanic,HR,Bachelor,25,85,No,Yes,No,11,27,Yes
Female,30-39,Hispanic,IT,Bachelor,23,60,Yes,Yes,No,12,22,No
Female,20-29,Black,IT,Master,25,80,No,No,Yes,10,14,No
Female,20-29,Hispanic,Finance,PhD,21,60,No,No,Yes,4,27,No
Male,20-29,White,HR,Bachelor,23,85,No,No,No,12,28,Yes
Male,40-49,White,IT,Bachelor,27,70,No,Yes,Yes,8,14,Yes
Female,50-59,Asian,HR,Bachelor,16,60,No,No,Yes,11,29,No
Male,30-39,Asian,HR,PhD,14,95,No,Yes,Yes,9,18,Yes
Male,40-49,Hispanic,Marketing,PhD,7,80,Yes,Yes,No,3,25,Yes
Female,50-59,Black,Finance,PhD,28,80,No,Yes,No,5,19,No
Female,40-49,Hispanic,Finance,Master,28,70,Yes,Yes,Yes,4,5,No
Male,30-39,Hispanic,Finance,Master,19,60,No,Yes,No,14,18,Yes
Male,50-59,Hispanic,Marketing,Bachelor,23,85,Yes,Yes,Yes,12,26,Yes
Male,40-49,Hispanic,Marketing,PhD,17,70,Yes,No,Yes,10,24,Yes
Female,30-39,White,Finance,Bachelor,9,60,Yes,No,Yes,6,7,No
Female,20-29,Black,Marketing,PhD,26,90,Yes,No,Yes,11,5,No
Female,30-39,White,Marketing,PhD,13,80,Yes,No,Yes,10,19,No
Female,20-29,Black,Marketing,PhD,22,85,Yes,Yes,No,4,22,No
Male,40-49,Asian,Finance,Master,5,95,No,Yes,No,8,28,Yes
Female,50-59,Hispanic,Finance,Master,23,85,Yes,No,No,3,14,No
Female,50-59,White,Finance,PhD,5,95,No,No,No,11,26,No
Female,40-49,Black,Marketing,Bachelor,10,85,No,No,Yes,5,2,No
Female,50-59,Asian,Finance,PhD,21,80,Yes,No,Yes,13,9,No
Female,50-59,Asian,Marketing,PhD,27,95,Yes,No,No,1,14,No
Male,20-29,Hispanic,IT,Bachelor,10,60,No,No,No,13,23,Yes
Male,40-49,Black,Marketing,PhD,27,95,Yes,No,Yes,6,15,Yes
Female,30-39,White,HR,Bachelor,7,70,Yes,No,Yes,11,16,Yes
Male,20-29,Hispanic,Finance,Master,26,60,Yes,Yes,Yes,5,18,Yes
Female,40-49,White,Finance,Master,15,70,Yes,Yes,No,8,10,No
Female,20-29,Asian,HR,Bachelor,7,85,Yes,Yes,Yes,9,15,Yes
Male,30-39,White,Marketing,Master,29,60,Yes,Yes,Yes,8,4,Yes
Male,30-39,White,IT,Master,27,85,Yes,No,No,8,4,Yes
Female,40-49,Hispanic,HR,Bachelor,15,90,No,Yes,No,12,25,No
Female,30-39,White,HR,Master,3,85,Yes,No,No,14,13,No
Female,20-29,Hispanic,Marketing,PhD,19,85,No,Yes,Yes,13,17,Yes
Male,30-39,Asian,Finance,PhD,10,70,No,No,Yes,3,25,Yes
Female,20-29,Hispanic,Marketing,Bachelor,28,95,No,No,No,4,7,No
Female,20-29,Hispanic,HR,Master,29,90,No,Yes,Yes,11,4,No
Female,30-39,Black,HR,PhD,15,85,Yes,Yes,Yes,4,6,No
Male,40-49,White,Finance,PhD,3,85,No,No,Yes,14,15,Yes
Female,50-59,Asian,Finance,Master,6,90,No,No,No,11,22,No
Female,30-39,Hispanic,Finance,Master,12,90,No,No,No,5,13,No
Male,20-29,Asian,Marketing,PhD,15,60,No,Yes,Yes,13,4,Yes
Female,20-29,Black,Finance,PhD,6,70,No,Yes,Yes,9,23,No
Female,30-39,White,HR,Bachelor,13,90,Yes,No,Yes,12,8,No
Male,40-49,Hispanic,HR,Bachelor,29,90,Yes,Yes,Yes,9,3,Yes
Female,40-49,White,IT,PhD,19,80,No,No,No,10,3,No
Male,20-29,Black,Marketing,Bachelor,3,95,Yes,Yes,No,13,15,Yes
Male,20-29,Black,IT,PhD,8,90,Yes,Yes,Yes,12,23,Yes
Female,40-49,Asian,HR,PhD,8,70,No,Yes,Yes,14,16,No
Female,50-59,Hispanic,IT,Bachelor,23,95,No,Yes,No,1,14,No
Female,30-39,Asian,HR,Bachelor,26,95,No,Yes,Yes,14,3,No
Female,20-29,Black,IT,Master,20,85,Yes,No,No,14,5,No
Male,20-29,White,Finance,Master,15,85,No,No,Yes,8,15,Yes
Female,40-49,Asian,IT,Master,4,85,Yes,Yes,No,14,28,No
Male,30-39,Asian,Finance,PhD,19,85,Yes,No,Yes,1,3,Yes
